drug_no,name,source_link,type
VD-18462-13,Lysinkid-Ca,dav.gov.vn,drug
QLSP-0794-14,Enterobella,dav.gov.vn,drug
VD-21434-14,Tyrothricin Pastille,dav.gov.vn,drug
VD-15526-11,Mekomucosol,dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg (mẫu 3),dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg (mẫu 6),dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg (mẫu 5),dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg (mẫu 4),dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg (mẫu 2),dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg (mẫu 1),dav.gov.vn,drug
VN-20004-16,Asumate 20,dav.gov.vn,drug
VD-21888-14,Lactacyd BB,dav.gov.vn,drug
VD-21888-14,Lactacyd BB,dav.gov.vn,drug
VD-23617-15,Liverbil,dav.gov.vn,drug
VD-14755-11,Star sore throat,dav.gov.vn,drug
VD-14755-11,Star sore throat,dav.gov.vn,drug
VD-19232-13,Ferlin,dav.gov.vn,drug
VN-17085-13,Estraceptin,dav.gov.vn,drug
VN-17085-13,Estraceptin,dav.gov.vn,drug
VN-17085-13,Estraceptin,dav.gov.vn,drug
VN-19964-16,Panadol Extra With Optizorb,dav.gov.vn,drug
VD-22491-15,Cao ích mẫu,dav.gov.vn,drug
VN-19655-16,Rigevidon 21+7 (mẫu poster),dav.gov.vn,drug
VN-19655-16,Rigevidon 21+7 (mẫu Standee),dav.gov.vn,drug
VN-19655-16,Rigevidon 21+7 (mẫu tờ rơi),dav.gov.vn,drug
VD-18156-12,Acemuc,dav.gov.vn,drug
VD-18156-12,Acemuc,dav.gov.vn,drug
VD-18156-12,Acemuc,dav.gov.vn,drug
VD-18156-12,Acemuc,dav.gov.vn,drug
GC-229-14,Cenditan,dav.gov.vn,drug
GC-230-14,Centasia,dav.gov.vn,drug
VD-23482-15,Desloratadin,dav.gov.vn,drug
GC-231-14,Centhionin,dav.gov.vn,drug
VD-16075-11,Thuốc uống Lục Vị,dav.gov.vn,drug
VN-19762-16,Systane Ultra,dav.gov.vn,drug
VD-23978-15,Partamol Tab,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-12497-10,Eramux,dav.gov.vn,drug
VD-13559-10,Lomedium,dav.gov.vn,drug
VD-13558-10,Lantasim,dav.gov.vn,drug
VD-11250-10,Maloxid,dav.gov.vn,drug
VD-8944-09,Mekomorivital F,dav.gov.vn,drug
VD-24954-16,Taginko,dav.gov.vn,drug
VD-23189-15,Protamol,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VN-17216-13,Systane Ultra UD,dav.gov.vn,drug
VN-19762-16,Systane Ultra,dav.gov.vn,drug
GC-0136-11; GC-0137-11; VD-18156-12,Acemuc,dav.gov.vn,drug
VD-13185-10,Salonsip gel patch (mẫu 1),dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
